2024-10-14 09:29:15 INFO  DashBoardFrame:139 - *************结束仓位调整*************
2024-10-14 09:29:37 INFO  DashBoardFrame:139 - 下单状态: 202 信息: Order Canceled - reason:
2024-10-14 09:29:37 INFO  DashBoardFrame:139 - 1394 202 Order Canceled - reason:
2024-10-14 09:30:09 INFO  DashBoardFrame:139 - disconnected
2024-10-14 09:30:09 INFO  DashBoardFrame:139 - disconnected
2024-10-14 09:30:10 INFO  DashBoardFrame:139 - connected
2024-10-14 09:30:10 INFO  DashBoardFrame:139 - -1 2104 Market data farm connection is OK:usfarm
2024-10-14 09:30:10 INFO  DashBoardFrame:139 - -1 2106 HMDS data farm connection is OK:euhmds
2024-10-14 09:30:10 INFO  DashBoardFrame:139 - Received account list
2024-10-14 09:30:10 INFO  DashBoardFrame:139 - -1 2106 HMDS data farm connection is OK:fundfarm
2024-10-14 09:30:10 INFO  DashBoardFrame:139 - -1 2106 HMDS data farm connection is OK:ushmds
2024-10-14 09:30:10 INFO  DashBoardFrame:139 - -1 2158 Sec-def data farm connection is OK:secdefil
2024-10-14 09:30:10 INFO  DashBoardFrame:139 - Server date/time is 20241014-09:30:10
2024-10-14 09:30:18 INFO  DashBoardFrame:139 - 手工触发调仓
2024-10-14 09:30:18 INFO  DashBoardFrame:139 - 账户:DU6083323, 账户净值:316551.49, 账户总现金:236036.39
2024-10-14 09:30:18 INFO  DashBoardFrame:139 - *************开始仓位调整*************
2024-10-14 09:30:18 INFO  DashBoardFrame:139 - UPRO规划市值(净资产总市值 x 基金占比)47482.72 = 净资产总市值316551.49 * 基金占比 0.15 
2024-10-14 09:30:18 INFO  DashBoardFrame:139 - 重置最新规划金额为 {47482.72} : 原有规划金额 {45534.01}
2024-10-14 09:30:18 INFO  DashBoardFrame:139 - 当前{UPRO}市场金额: {32221.62}. 当前持仓： {362.00} 当前市场价格： {89.01}
2024-10-14 09:30:18 INFO  DashBoardFrame:139 - 执行加仓:当前{UPRO}市场价格 {32221.62} 小于 {47482.72}(规划金额)
